stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,stop_url,location_type,parent_station
2388,3010,Zaczarnie - Pętla,,50.0728688241737,21.0936707625592,,,
2520,3008,Zaczarnie - Skrzyżowanie,,50.0673049787879,21.0932221911642,,,
2521,3006,Zaczarnie - Zlewnia,,50.0662440477837,21.0830716785834,,,
2522,3004,Zaczarnie - Szkoła,,50.0630703426418,21.0695966409079,,,
2523,3002,Zaczarnie - Krzyż,,50.0602814061447,21.0564893542825,,,
2524,3000,Zaczarnie - Koło Rolnicze,,50.0591402148673,21.0455004243832,,,
2525,2998,Zaczarnie,,50.0547817377782,21.0326422403794,,,
2526,2996,Brzozówka,,50.0571683171955,21.0225710894105,,,
2527,2994,Brzozówka - Szkoła,,50.0591773988553,21.0148532859621,,,
2379,3127,Tarnów Jana Pawła II - Niepodległości,,50.0353291081091,21.0117091783903,,,
2423,3286,Tarnów Błonie,,50.0355597213679,21.0062280526585,,,
2424,2950,Tarnów Nowodąbrowska - Spokojna,,50.0352182501421,21.0019404797066,,,
2425,2948,Tarnów Nowodąbrowska - 16 Pułku Piechoty,,50.0317029394157,20.9995204977095,,,
2426,2893,Tarnów Matki Bożej Fatimskiej - Krzyska,,50.0247489270075,20.9955866688847,,,
2427,2894,Tarnów Matki Bożej Fatimskiej - Marszałka,,50.0203436085882,20.993515967967,,,
2039,5109,Tarnów Goldhammera - Mickiewicza,,50.01561,20.98954,,,
2037,5129,Tarnów Solidarności - Klikowska,,50.01569,20.97992,,,
1523,2511,Tarnów Sikorskiego,,50.01048608,20.97645254,,,
2274,3063,Tarnów Dworzec Autobusowy,,50.0065657825417,20.9729420129381,,,
1271,2508,Tarnów Krakowska – Planty,,50.0079631098273,20.9755665063858,,,
2063,5131,Tarnów Solidarności - Grottgera,,50.0154,20.97942,,,
2064,5130,Tarnów Solidarności - Seminarium,,50.01547,20.98503,,,
2065,5108,Tarnów Goldhammera - PWSZ,,50.01575,20.98965,,,
2066,5118,Tarnów Matki Bożej Fatimskiej - Kościół,,50.01946,20.99337,,,
2275,2874,Tarnów Matki Bożej Fatimskiej - Szpitalna,,50.0252383141761,20.9960131401188,,,
2376,2946,Tarnów Nowodąbrowska - Os. Legionów,,50.0283857520587,20.9984402476567,,,
2377,2947,Tarnów Nowodąbrowska - Gemini,,50.0306363830222,20.9992055083939,,,
2378,3285,Tarnów Błonie - Nowodąbrowska,,50.0354815237862,21.0036870852929,,,
2428,2957,Brzozówka Koło Kapliczki,,50.0602950493314,21.0127059661566,,,
2429,2959,Brzozówka org,,50.066335276048,21.0160766093147,,,
2430,2961,Lisia Góra - Kościół,,50.082338229513,21.0262332730866,,,
2431,2962,Lisia Góra Mleczarnia,,50.0795859999213,21.0377657215151,,,
2432,2964,Lisia Góra - ul. Długa Skrzyżowanie,,50.0789684145696,21.0468072672119,,,
2433,2966,Lisia Góra - ul. Długa,,50.0784381065922,21.0533035383119,,,
2434,2968,Lisia Góra Długa Rondo,,50.0782615962,21.065099644658,,,
2435,2970,Lisia Góra Długa Dębiarze,,50.0797964864912,21.0775411828581,,,
2436,2972,Stare Żukowice I,,50.0903843288952,21.0833263667812,,,
2437,2974,Stare Żukowice - Kościół,,50.0875110798158,21.0945337314693,,,
