stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,stop_url,location_type,parent_station,stop_IBNR
77107,,OŚWIĘCIM,,50.0411342,19.1991955,,,,0
77123,,GORZÓW CHRZANOWSKI,,50.0736961,19.2421176,,,,0
77958,,CHEŁMEK,,50.0991207,19.2540829,,,,0
77909,,LIBIĄŻ,,50.1127879,19.3275956,,,,0
77800,,CHRZANÓW,,50.133418,19.3984948,,,,0
77834,,CHRZANÓW ŚRÓDMIEŚCIE,,50.1443979,19.414047,,,,0
77503,,TRZEBINIA,,50.1539774,19.4528744,,,,0
77578,,DULOWA,,50.1404854,19.5206471,,,,0
77586,,WOLA FILIPOWSKA,,50.130823,19.5773468,,,,0
77701,,KRZESZOWICE,,50.1308093,19.6368484,,,,0
77735,,RUDAWA,,50.1188406,19.71932,,,,0
80390,,ZABIERZÓW,,50.1177415,19.7994021,,,,0
236232,,ZABIERZÓW RZĄSKA,,50.1056322,19.8236209,,,,0
80358,,KRAKÓW MYDLNIKI WAPIENNIK,,50.0912014,19.8444987,,,,0
80333,,KRAKÓW MYDLNIKI,,50.0833871,19.8623974,,,,0
260937,,KRAKÓW BRONOWICE,,50.0828134,19.8919081,,,,0
80374,,KRAKÓW ŁOBZÓW,,50.0819062,19.9172491,,,,0
80416,,KRAKÓW GŁÓWNY,,50.0683947,19.9475035,,,,0
77461,,DWORY,,50.0455786,19.2854139,,,,0
78139,,WŁOSIENICA,,50.0229022,19.3291674,,,,0
78121,,PRZECISZÓW,,50.0132897,19.3696046,,,,0
279915,,ZATOR PARK ROZRYWKI,,50.0053428,19.4063413,,,,0
78113,,ZATOR,,50.002439,19.4280259,,,,0
78006,,SPYTKOWICE,,49.9950725,19.4764965,,,,0
78089,,SPYTKOWICE KĘPKI,,49.9987488,19.5228164,,,,0
78071,,RYCZÓW,,49.9893095,19.5399543,,,,0
78063,,PÓŁWIEŚ,,49.9761216,19.5764597,,,,0
78048,,BRZEŹNICA,,49.9673471,19.6289564,,,,0
78030,,JAŚKOWICE,,49.9617745,19.6752134,,,,0
78022,,WIELKIE DROGI,,49.9595323,19.7109099,,,,0
80135,,ZELCZYNA,,49.9610742,19.7460175,,,,0
80127,,PODBORY SKAWIŃSKIE,,49.9664369,19.7722936,,,,0
80119,,SKAWINA ZACHODNIA,,49.9731614,19.7927902,,,,0
80101,,SKAWINA,,49.97714,19.8218725,,,,0
262832,,SKAWINA JAGIELNIA,,49.9812614,19.8414692,,,,0
80051,,KRAKÓW SIDZINA,,49.9855704,19.874778,,,,0
262833,,KRAKÓW OPATKOWICE,,49.9888151,19.8994277,,,,0
80044,,KRAKÓW SWOSZOWICE,,50.0004047,19.9280566,,,,0
258460,,KRAKÓW SANKTUARIUM,,50.0139308,19.9342838,,,,0
80036,,KRAKÓW ŁAGIEWNIKI,,50.0236052,19.9338581,,,,0
80002,,KRAKÓW BONARKA,,50.0291738,19.9459341,,,,0
239138,,KRAKÓW PODGÓRZE,,50.041108,19.9592118,,,,0
79939,,KRAKÓW ZABŁOCIE,,50.0484386,19.956833,,,,0
239140,,KRAKÓW GRZEGÓRZKI,,50.0575340858249,19.9479190782688,,,,0
80630,,TARNÓW,,50.0052905,20.9744678,,,,0
80671,,TARNÓW MOŚCICE,,50.0064549,20.9252097,,,,0
80663,,BOGUMIŁOWICE,,50.0075409,20.8698984,,,,0
79848,,BIADOLINY,,50.0037427,20.7342987,,,,0
79830,,STERKOWIEC,,49.9943067,20.6803932,,,,0
79806,,BRZESKO OKOCIM,,49.9866536,20.6105301,,,,0
79673,,JASIEŃ BRZESKI,,49.9869935,20.5580594,,,,0
79665,,RZEZAWA,,49.9847569,20.5150182,,,,0
79657,,BOCHNIA,,49.9773231,20.4312843,,,,0
79756,,CIKOWICE,,49.98485,20.3808066,,,,0
79640,,STANISŁAWICE,,49.9919667,20.3545637,,,,0
79681,,KŁAJ,,50.001865,20.3004724,,,,0
79723,,SZARÓW,,50.0095569,20.2563546,,,,0
79632,,STANIĄTKI,,50.0106285,20.2067327,,,,0
79525,,PODŁĘŻE,,50.0189935,20.1652093,,,,0
79533,,WĘGRZCE WIELKIE,,50.0187218,20.1070461,,,,0
79541,,KOKOTÓW,,50.017803,20.069731,,,,0
262870,,KRAKÓW ZŁOCIEŃ,,50.0181501,20.0506785,,,,0
79947,,KRAKÓW BIEŻANÓW,,50.0212218,20.0296782,,,,0
79210,,KRAKÓW PROKOCIM,,50.0265037,19.9989288,,,,0
79905,,KRAKÓW PŁASZÓW,,50.0349845,19.9750423,,,,0
79236,,KRAKÓW BATOWICE,,50.1074617,19.9954911,,,,0
79327,,ZASTÓW,,50.121563,20.0648136,,,,0
79335,,BARANÓWKA,,50.1467234,20.0953619,,,,0
79343,,ŁUCZYCE,,50.1626561,20.0744024,,,,0
79350,,GOSZCZA,,50.1849737,20.0609405,,,,0
79368,,NIEDŹWIEDŹ,,50.2057717,20.08153,,,,0
79376,,SŁOMNIKI MIASTO,,50.2358343,20.0763817,,,,0
79384,,SŁOMNIKI,,50.2483244,20.0640672,,,,0
79426,,SMROKÓW,,50.2747111,20.0466248,,,,0
79434,,SZCZEPANOWICE,,50.3010946,20.0246682,,,,0
79459,,KAMIEŃCZYCE,,50.3272584,20.0057885,,,,0
79467,,MIECHÓW,,50.3546514,20.0112144,,,,0
79483,,PSTROSZYCE,,50.3991993,20.008334,,,,0
64626,,TUNEL,,50.434986,19.9919779,,,,0
64337,,KOZŁÓW,,50.4746022,20.0119761,,,,0
64352,,KLIMONTÓW,,50.5257903,20.0303811,,,,0
64303,,SĘDZISZÓW,,50.5651847,20.0531817,,,,0
235879,,KRAKÓW LOTNISKO,,50.0708948,19.8014213,,,,0
258463,,KRAKÓW OLSZANICA,,50.0764518,19.8254701,,,,0
258461,,KRAKÓW ZAKLIKI,,50.079771,19.849453,,,,0
258462,,KRAKÓW MŁYNÓWKA,,50.0817813,19.8585219,,,,0
79954,,KRAKÓW BIEŻANÓW DROŻDŻOWNIA,,50.0101025,20.0353932,,,,0
242822,,WIELICZKA BOGUCICE,,49.9984505,20.0366077,,,,0
80440,,WIELICZKA PARK,,49.9890933,20.0494485,,,,0
241960,,WIELICZKA RYNEK-KOPALNIA,,49.985686,20.056641,,,,0
83410,,JASŁO,,49.7377605,21.4709081,,,,0
83352,,JASŁO NIEGŁOWICE,,49.7263108,21.4518358,,,,0
83337,,PRZYSIEKI,,49.7328005,21.3944492,,,,0
81844,,SKOŁYSZYN,,49.7451627,21.3391667,,,,0
81836,,SIEPIETNICA,,49.7544442,21.2967069,,,,0
81786,,BIECZ,,49.7325356,21.2629707,,,,0
81828,,LIBUSZA,,49.7119287,21.2410388,,,,0
81703,,GORLICE ZAGÓRZANY,,49.6939107,21.1949987,,,,0
81661,,MOSZCZENICA MAŁOPOLSKA,,49.6970691,21.1221303,,,,0
81653,,WOLA ŁUŻAŃSKA,,49.6940348,21.0609696,,,,0
81646,,SZALOWA,,49.6792463,21.0236964,,,,0
81638,,POLNA,,49.6752308,20.9945922,,,,0
81604,,STRÓŻE,,49.6541861,20.9767003,,,,0
81679,,GRYBÓW,,49.6265381,20.9578755,,,,0
81687,,PTASZKOWA,,49.6033188,20.8817263,,,,0
81737,,MSZALNICA,,49.5929045,20.8286845,,,,0
82131,,KAMIONKA WIELKA,,49.577996,20.7811239,,,,0
82149,,NOWY SĄCZ JAMNICA,,49.586802,20.7442048,,,,0
265357,,NOWY SĄCZ GORZKÓW,,49.5987060456719,20.7231368508392,,,,0
81901,,NOWY SĄCZ,,49.6067228,20.7030718,,,,0
79251,,KRAKÓW LUBOCZA,,50.090594,20.0745996,,,,0
178406,,KRAKÓW NOWA HUTA,,50.0902487,20.1286921,,,,0
82404,,MUSZYNA,,49.346523,20.894138,,,,0
179275,,PLAVEC,,49.26934,20.85102,,,,0
81141,,WILCZYSKA,,49.6762717,20.9423269,,,,0
81133,,JANKOWA,,49.6958068,20.934164,,,,0
81125,,BOBOWA-MIASTO,,49.7078683,20.9385381,,,,0
81091,,BOBOWA,,49.7165549,20.9575221,,,,0
81083,,PŁAWNA,,49.7545594,20.950599,,,,0
81067,,BOGONIOWICE CIĘŻKOWICE,,49.7983125,20.9765893,,,,0
81059,,GROMNIK,,49.8341138,20.9611297,,,,0
81042,,CHOJNIK,,49.8512942,20.9842001,,,,0
81034,,SIEDLISKA KOŁO TUCHOWA,,49.8602394,21.018747,,,,0
81026,,LUBASZOWA,,49.8647155,21.0359413,,,,0
80986,,TUCHÓW,,49.8920076,21.0568675,,,,0
80978,,ŁOWCZÓW,,49.9125119,21.0040118,,,,0
80952,,ŁOWCZÓWEK PLEŚNA,,49.9282996,20.9496368,,,,0
178473,,KŁOKOWA,,49.9533037,20.9572747,,,,0
81778,,GORLICE GLINIK,,49.6717869,21.1729972,,,,0
81760,,GORLICE,,49.6643754,21.1629729,,,,0
82032,,STARY SĄCZ,,49.5589896,20.6433506,,,,0
82073,,RYTRO,,49.486527,20.6802103,,,,0
82099,,PIWNICZNA-ZDRÓJ,,49.4407397,20.7173547,,,,0
82586,,ŁOMNICA-ZDRÓJ,,49.4198943,20.7247758,,,,0
82552,,ŻEGIESTÓW-ZDRÓJ,,49.3629494,20.8032539,,,,0
82446,,MUSZYNA ZDRÓJ,,49.3578796,20.8962887,,,,0
82487,,KRYNICA-ZDRÓJ,,49.4096966,20.9571875,,,,0
79020,,ZAKOPANE,,49.3007808,19.9630046,,,,0
78980,,PORONIN,,49.3439876,20.0035752,,,,0
78907,,NOWY TARG,,49.473443,20.0152662,,,,0
265251,,CHABÓWKA STADION,,49.5899752684799,19.9205027526438,,,,0
78535,,MAKÓW PODHALAŃSKI,,49.7266611,19.6785066,,,,0
258708,,SUCHA BESKIDZKA ZAMEK,,49.7437754,19.6033392,,,,0
78345,,KALWARIA ZEBRZYDOWSKA LANCKORONA,,49.87115,19.688654,,,,0
